,AccessionNumber,CIK,Date,TotalOriginalLoan,TotalActualAmount,TotalChargedOffPrincipalAmount
0,0000950123-17-005662,1383094.0,Feb 2017,1301507138.4200323,41104127.829999745,4335369.799999997
1,0000950131-17-000040,1383094.0,Mar 2017,1346053370.3900485,19909061.880000047,0.0
2,0000950131-17-000090,1383094.0,Apr 2017,1346053370.3900485,36327540.67000019,63622.18
3,0000950131-17-000134,1383094.0,May 2017,1334162698.300049,42643777.39999998,595257.8
4,0000950131-17-000199,1383094.0,Jun 2017,1318719929.5400345,38515935.44000021,1418132.5100000005
