,AccessionNumber,CIK,Date,TotalOriginalLoan,TotalActualAmount,TotalChargedOffPrincipalAmount
0,0001347185-17-000010,1347185.0,Feb 2017,1158917448.5200047,22472126.98999994,-64495.14
1,0001694010-17-000011,1694010.0,Mar 2017,1153866858.7900052,28952408.419999808,187054.66000000003
2,0001694010-17-000013,1694010.0,Mar 2017,1158917448.5200047,26444820.349999934,-34153.6
3,0001694010-17-000016,1694010.0,Apr 2017,1144125657.6500058,33493137.30999988,967060.4299999999
4,0001694010-17-000019,1694010.0,May 2017,1129467976.4700046,28656069.779999726,2832336.81
5,0001694010-17-000022,1694010.0,Jun 2017,1114109337.800004,31842131.9499999,4501689.760000002
