,AccessionNumber,CIK,Date,TotalOriginalLoan,TotalActualAmount,TotalChargedOffPrincipalAmount
0,0000950123-17-005661,1383094.0,May 2017,1790844087.8001096,50492310.41999998,44822.39
1,0000950131-17-000209,1383094.0,May 2017,1790844087.8001099,25774227.229999926,0.0
2,0000950131-17-000211,1383094.0,Jun 2017,1434707872.060036,20666054.469999917,0.0
